model,year,price,transmission,mileage,fuelType,mpg,finance_monthly,lease_monthly,horsepower
GT86,2016,16000,Manual,24089,Gasoline,36.2,292.25,261.23,197
GT86,2017,15995,Manual,18615,Gasoline,36.2,292.16,261.16,197
GT86,2015,13998,Manual,27469,Gasoline,36.2,255.68,231.06,197
GT86,2017,18998,Manual,14736,Gasoline,36.2,347.01,306.43,197
GT86,2017,17498,Manual,36284,Gasoline,36.2,319.61,283.82,197
GT86,2017,15998,Manual,26919,Gasoline,36.2,292.21,261.2,197
GT86,2017,18522,Manual,10456,Gasoline,36.2,338.31,299.25,197
GT86,2017,18995,Manual,12340,Gasoline,36.2,346.95,306.38,197
GT86,2020,27998,Manual,516,Gasoline,33.2,511.4,426.31,197
GT86,2016,13990,Manual,37999,Gasoline,36.2,255.53,230.94,197
GT86,2013,10495,Manual,72000,Gasoline,36.2,191.7,178.25,197
GT86,2017,17990,Manual,12597,Gasoline,36.2,328.6,291.23,197
GT86,2017,16995,Manual,36100,Gasoline,36.2,310.42,276.23,197
GT86,2019,23995,Manual,995,Gasoline,33.2,438.28,381.75,197
GT86,2018,18498,Manual,35228,Gasoline,36.2,337.87,298.89,197
GT86,2019,23980,Manual,1751,Gasoline,33.2,438.01,381.53,197
GT86,2017,17995,Manual,16444,Gasoline,36.2,328.69,291.31,197
GT86,2014,12998,Manual,25499,Gasoline,36.2,237.41,215.98,197
GT86,2019,23495,Automatic,3934,Gasoline,32.8,429.15,374.22,197
GT86,2019,25780,Manual,5123,Gasoline,33.2,470.88,408.66,197
GT86,2020,26995,Semi-Auto,1500,Gasoline,32.8,493.08,411.76,197
GT86,2019,23998,Semi-Auto,913,Gasoline,32.8,438.34,381.8,197
GT86,2019,26995,Manual,2680,Gasoline,33.2,493.08,426.98,197
GT86,2017,17000,Manual,14345,Gasoline,36.2,310.51,276.31,197
GT86,2018,19995,Manual,15525,Gasoline,36.2,365.22,321.46,197
GT86,2020,31000,Manual,3000,Gasoline,33.2,566.23,469.87,197
GT86,2016,15995,Semi-Auto,19460,Gasoline,39.8,292.16,261.16,197
GT86,2018,18490,Manual,31231,Gasoline,36.2,337.73,298.77,197
GT86,2020,24990,Manual,339,Gasoline,33.2,456.45,382.66,197
GT86,2015,13981,Manual,30500,Gasoline,36.2,255.37,230.8,197
GT86,2015,13991,Manual,38126,Gasoline,36.2,255.55,230.95,197
GT86,2019,27060,Automatic,3348,Gasoline,32.8,494.26,427.96,197
GT86,2018,20695,Manual,5260,Gasoline,36.2,378,332.01,197
GT86,2019,25999,Manual,100,Gasoline,33.2,474.88,411.96,197
GT86,2013,11575,Manual,50584,Gasoline,36.2,211.42,194.53,197
GT86,2017,20995,Manual,6445,Gasoline,36.2,383.48,336.53,197
GT86,2014,14999,Manual,18389,Gasoline,36.2,273.96,246.15,197
GT86,2019,27000,Semi-Auto,100,Gasoline,32.8,493.17,427.05,197
GT86,2016,15000,Manual,28321,Gasoline,36.2,273.98,246.16,197
GT86,2019,22200,Semi-Auto,16241,Gasoline,32.8,405.49,354.69,197
GT86,2019,24990,Manual,3150,Gasoline,33.2,456.45,396.75,197
GT86,2019,25995,Manual,8912,Gasoline,33.2,474.81,411.9,197
GT86,2017,19500,Manual,9639,Gasoline,36.2,356.18,313.99,197
GT86,2017,18250,Manual,20219,Gasoline,36.2,333.35,295.15,197
GT86,2019,23995,Manual,1557,Gasoline,33.2,438.28,381.75,197
GT86,2016,17500,Manual,14000,Gasoline,36.2,319.65,283.85,197
GT86,2019,23997,Manual,4500,Gasoline,33.2,438.32,381.78,197
GT86,2017,17102,Manual,21000,Gasoline,36.2,312.38,277.85,197
GT86,2019,24995,Manual,2488,Gasoline,33.2,456.55,396.83,197
GT86,2017,19995,Manual,26000,Gasoline,36.2,365.22,321.46,197
GT86,2020,29769,Manual,999,Gasoline,33.2,543.75,452.01,197
GT86,2019,25850,Manual,4442,Gasoline,33.2,472.16,409.72,197
GT86,2014,13495,Manual,24667,Gasoline,36.2,246.49,223.47,197
GT86,2017,18495,Semi-Auto,13930,Gasoline,39.8,337.82,298.84,197
GT86,2020,25499,Manual,614,Gasoline,33.2,465.75,390.05,197
GT86,2017,18621,Manual,18544,Gasoline,36.2,340.12,300.74,197
GT86,2019,25121,Manual,7056,Gasoline,33.2,458.85,398.73,197
GT86,2017,17500,Manual,11898,Gasoline,36.2,319.65,283.85,197
GT86,2013,11599,Automatic,28335,Gasoline,39.8,211.86,194.89,197
GT86,2017,17249,Manual,10089,Gasoline,36.2,315.06,280.06,197
GT86,2020,25995,Manual,3250,Gasoline,33.2,474.81,397.25,197
GT86,2014,13000,Manual,39761,Gasoline,36.2,237.45,216.01,197
GT86,2017,17250,Manual,19420,Gasoline,36.2,315.08,280.08,197
GT86,2019,27950,Manual,489,Gasoline,33.2,510.52,441.37,197
GT86,2020,27995,Manual,1055,Gasoline,33.2,511.34,426.27,197
GT86,2016,13999,Manual,19987,Gasoline,36.2,255.7,231.07,197
GT86,2012,9995,Automatic,74599,Gasoline,39.8,182.56,170.71,197
GT86,2015,10499,Automatic,81206,Gasoline,39.8,191.77,178.31,197
GT86,2012,11995,Manual,53000,Gasoline,36.2,219.09,200.86,197
GT86,2015,13495,Manual,49000,Gasoline,36.2,246.49,223.47,197
GT86,2019,24990,Automatic,4000,Gasoline,32.8,456.45,396.75,197
GT86,2017,19500,Manual,6725,Gasoline,36.2,356.18,313.99,197
GT86,2020,28000,Manual,650,Gasoline,33.2,511.43,426.34,197
Corolla,2019,20250,Automatic,7445,Hybrid,85.6,369.88,325.3,122
Corolla,2020,26980,Automatic,5000,Hybrid,72.4,492.8,411.54,180
Corolla,2019,21995,Automatic,8789,Hybrid,85.6,401.75,351.6,122
Corolla,2019,18995,Manual,2193,Gasoline,39.2,346.95,306.38,116
Corolla,2019,22498,Automatic,9798,Hybrid,78.5,410.94,359.19,122
Corolla,2019,20998,Automatic,8442,Hybrid,85.6,383.54,336.58,122
Corolla,2019,27990,Automatic,3650,Hybrid,72.4,511.25,441.97,180
Corolla,2019,22520,Automatic,7666,Hybrid,85.6,411.34,359.52,122
Corolla,2019,17440,Manual,6346,Gasoline,39.2,318.55,282.94,116
Corolla,2019,22990,Automatic,9000,Hybrid,78.5,419.92,366.6,122
